name,x,y
LOCKb2014b_000267,181.154,599.968
LOCKb2014b_000267,213.802,590.607
LOCKb2014b_000267,335.896,379.444
LOCKb2014b_000268,334.969,381.111
LOCKb2014b_000268,322.3165,388.05
LOCKb2014b_000268,992.5915,212.3385
LOCKb2014b_000268,781.422,166.279
LOCKb2014b_000268,538.103,184.719
LOCKb2014b_000268,32.055,270.93
LOCKb2014b_000268,974.8835,215.577
LOCKb2014b_000268,498.057,202.797
LOCKb2014b_000268,342.733,308.34
LOCKb2014b_000268,861.6475,210.3285
LOCKb2014b_000268,844.525,211.989
LOCKb2014b_000268,59.766,270.32
LOCKb2014b_000268,559.778,179.846
LOCKb2014b_000268,477.018,205.226
LOCKb2014b_000269,477.2635,203.484
LOCKb2014b_000269,594.1025,300.671
LOCKb2014b_000269,538.239,189.6555
LOCKb2014b_000269,726.5515,239.904
LOCKb2014b_000269,489.267,199.795
LOCKb2014b_000269,845.214,213.646
LOCKb2014b_000269,553.117,184.492
LOCKb2014b_000270,743.176,243.8605
LOCKb2014b_000270,474.16,209.625
LOCKb2014b_000270,558.258,182.761
LOCKb2014b_000270,863.763,215.546
LOCKb2014b_000270,780.193,172.776
LOCKb2014b_000270,539.791,187.692
LOCKb2014b_000270,495.442,208.679
LOCKb2014b_000270,47.4025,275.656
LOCKb2014b_000270,342.764,312.82
LOCKb2014b_000270,165.64,593.519
LOCKb2014b_000270,843.381,218.59
LOCKb2014b_000270,315.1605,317.1145
LOCKb2014b_000270,199.62,587.632
LOCKb2014b_000271,975.47,216.114
LOCKb2014b_000271,537.461,186.843
LOCKb2014b_000271,988.206,210.546
LOCKb2014b_000271,862.948,215.639
LOCKb2014b_000271,555.011,185.775
LOCKb2014b_000271,495.141,204.691
LOCKb2014b_000271,64.439,269.9975
LOCKb2014b_000271,840.0685,217.5315
LOCKb2014b_000271,776.092,171.353
LOCKb2014b_000271,35.036,277.7385
LOCKb2014b_000271,475.98,207.345
LOCKb2014b_000272,471.063,207.619
LOCKb2014b_000272,186.2555,599.651
LOCKb2014b_000272,860.7505,211.3495
LOCKb2014b_000272,989.9775,214.6195
LOCKb2014b_000272,782.026,171.826
LOCKb2014b_000272,539.541,186.018
LOCKb2014b_000272,842.7465,217.8665
LOCKb2014b_000272,974.963,216.5395
LOCKb2014b_000272,561.097,182.464
LOCKb2014b_000272,35.2095,280.2915
LOCKb2014b_000272,62.971,271.16
LOCKb2014b_000273,471.615,572.755
LOCKb2014b_000273,499.684,202.488
LOCKb2014b_000273,987.0615,211.3065
LOCKb2014b_000273,344.742,317.873
LOCKb2014b_000273,559.7685,182.0045
LOCKb2014b_000273,30.9085,280.128
LOCKb2014b_000273,473.635,205.567
LOCKb2014b_000273,777.676,171.243
LOCKb2014b_000273,176.211,597.762
LOCKb2014b_000273,728.453,597.292
LOCKb2014b_000273,836.227,215.339
LOCKb2014b_000273,971.862,214.327
LOCKb2014b_000273,212.386,589.366
LOCKb2014b_000273,435.1345,582.487
LOCKb2014b_000273,315.224,320.43
LOCKb2014b_000273,859.975,214.441
LOCKb2014b_000273,536.953,186.217
LOCKb2014b_000273,56.453,272.042
LOCKb2014b_000274,738.7555,238.32
LOCKb2014b_000274,988.327,213.677
LOCKb2014b_000274,863.107,206.656
LOCKb2014b_000274,545.88,184.8015
LOCKb2014b_000274,778.9585,170.044
LOCKb2014b_000274,850.0715,214.1895
LOCKb2014b_000274,175.6185,595.407
LOCKb2014b_000274,212.538,587.743
LOCKb2014b_000274,55.7875,272.659
LOCKb2014b_000274,970.9865,216.7925
LOCKb2014b_000275,347.677,317.3375
LOCKb2014b_000275,781.6755,173.095
LOCKb2014b_000275,174.6945,600.356
LOCKb2014b_000275,28.6265,277.8335
LOCKb2014b_000275,714.356,597.738
LOCKb2014b_000275,979.4015,216.433
LOCKb2014b_000275,61.393,273.217
LOCKb2014b_000275,209.073,593.722
LOCKb2014b_000278,544.672,183.606
LOCKb2014b_000278,836.359,208.4465
LOCKb2014b_000278,170.919,599.472
LOCKb2014b_000278,728.322,599.739
LOCKb2014b_000278,205.463,586.885
LOCKb2014b_000278,985.443,210.609
LOCKb2014b_000278,854.508,208.346
LOCKb2014b_000278,34.0565,278.2385
LOCKb2014b_000278,63.046,270.618
LOCKb2014b_000279,69.246,265.4735
LOCKb2014b_000280,854.804,204.542
LOCKb2014b_000280,838.476,214.284
LOCKb2014b_000280,555.9895,180.591
LOCKb2014b_000280,782.173,171.322
LOCKb2014b_000280,46.17,273.398
LOCKb2014b_000280,470.515,204.035
LOCKb2014b_000280,350.902,307.33
LOCKb2014b_000280,533.59,185.7205
LOCKb2014b_000281,615.2065,293.7225
LOCKb2014b_000281,722.773,591.567
LOCKb2014b_000281,737.1195,239.4825
LOCKb2014b_000281,308.295,392.1945
LOCKb2014b_000281,535.5015,185
LOCKb2014b_000281,468.177,204.3025
LOCKb2014b_000281,553.869,181.818
LOCKb2014b_000281,327.795,387.351
LOCKb2014b_000281,212.2205,581.762
LOCKb2014b_000281,72.459,265.322
LOCKb2014b_000281,43.2905,275.145
LOCKb2014b_000281,840.42,216.606
LOCKb2014b_000281,486.3295,199.5865
LOCKb2014b_000281,177.284,593.221
LOCKb2014b_000282,857.793,212.0685
LOCKb2014b_000282,486.8305,196.8865
LOCKb2014b_000282,323.1255,384.2015
LOCKb2014b_000282,62.876,258.98
